Case,Name,Rank,Badge,Incident Date,Location,Precinct,Allegation,Disposition,Discipline,
200208-0163,GARY M RUNDIO,Police Officer,2,2002-08-23 12:27:00,Street/Alley,13,Firearm Used,Officers Actions within Policy,,
200212-0038,GARY M RUNDIO,Police Officer,2,2002-11-13 15:45:00,Street/Alley,6,Striking Hands / Feet,Officers Actions within Policy,,
200609-0146,GARY M RUNDIO,Police Officer,2,2006-08-22 7:12:00,Private Residence or Property,15,Force,Not Sustained,,
201309-0108,SEAN CULBERTSON,Police Officer,8,2013-04-25 15:52:00,Private Residence or Property,20,Striking Hands / Feet,Officers Actions within Policy,Documented Constructive Counseling,
201309-0108,SEAN CULBERTSON,Police Officer,8,2013-04-25 15:52:00,Private Residence or Property,20,Injury during arrest,Officers Actions within Policy,Documented Constructive Counseling,
200205-0014,GARY L MAYLE,Police Officer,11,2002-04-22 16:35:00,Business Building Or Property,13,Injury during arrest,Officers Actions within Policy,,
200411-0098,GARY L MAYLE,Police Officer,11,2004-11-09 12:50:00,Street/Alley,8,Force,Unfounded,,
200411-0098,GARY L MAYLE,Police Officer,11,2004-11-09 12:50:00,Street/Alley,8,Injury during arrest,Officers Actions within Policy,,
200702-0301,GARY L MAYLE,Police Officer,11,2007-02-22 9:55:00,Private Residence or Property,8,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200806-0031,GARY L MAYLE,Police Officer,11,2008-05-27 10:27:00,Street/Alley,8,Individual Issued Mace,Officers Actions within Policy,,
201003-0168,GARY L MAYLE,Police Officer,11,2010-02-14 1:45:00,Public Building or Property,4,Striking Hands / Feet,Officers Actions within Policy,,
201003-0168,GARY L MAYLE,Police Officer,11,2010-02-14 1:45:00,Public Building or Property,4,Individual Issued Mace,Officers Actions within Policy,,
201106-0011,GARY L MAYLE,Police Officer,11,2011-05-28 1:07:00,Business Building Or Property,4,Individual Issued Mace,Officers Actions within Policy,,
201106-0186,GARY L MAYLE,Police Officer,11,2011-05-14 2:10:00,Private Residence or Property,4,Striking Hands / Feet,Officers Actions within Policy,,
201106-0186,GARY L MAYLE,Police Officer,11,2011-05-14 2:10:00,Private Residence or Property,4,Injury during arrest,Officers Actions within Policy,,
201208-0398,GARY L MAYLE,Police Officer,11,2012-06-13 7:30:00,Private Residence or Property,8,Injury during arrest,Officers Actions within Policy,,
201211-0095,GARY L MAYLE,Police Officer,11,2012-11-03 0:18:00,Bar,4,Individual Issued Mace,Officers Actions within Policy,,
200108-0180,LAWRENCE T BROWN,Police Officer,12,2001-05-19 19:55:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200304-0023,LAWRENCE T BROWN,Police Officer,12,2003-04-01 22:18:00,Street/Alley,12,Injury during arrest,Officers Actions within Policy,,
200504-0224,LAWRENCE T BROWN,Police Officer,12,2005-04-24 3:00:00,Street/Alley,8,Firearm Used,Officers Actions within Policy,,
201211-0121,LAWRENCE T BROWN,Police Officer,12,2012-11-07 18:20:00,Private Residence or Property,19,Injury during arrest,Officers Actions within Policy,,
201301-0001,LAWRENCE T BROWN,Police Officer,12,2012-12-31 23:00:00,Bar,16,Force,Not Sustained,Documented Constructive Counseling,
201301-0001,LAWRENCE T BROWN,Police Officer,12,2012-12-31 23:00:00,Bar,16,Force,Not Sustained,Written Reprimand,
201301-0001,LAWRENCE T BROWN,Police Officer,12,2012-12-31 23:00:00,Bar,16,Force,Unfounded,Documented Constructive Counseling,
201301-0001,LAWRENCE T BROWN,Police Officer,12,2012-12-31 23:00:00,Bar,16,Force,Unfounded,Written Reprimand,
201311-0229,LAWRENCE T BROWN,Police Officer,12,2013-11-22 9:46:00,Business Building Or Property,6,Firearm Used,Pending,,
200608-0247,TIFFANY D SUMMERS,Police Officer,16,2006-08-24 3:15:00,Street/Alley,3,Individual Issued Mace,Officers Actions within Policy,,
201009-0091,ROBERT M VIDUYA,Police Officer,17,2010-09-07 19:05:00,Street/Alley,8,Injury during arrest,Officers Actions within Policy,,
200107-0217,R BRONSON CONSTABLE,Police Officer,19,2001-07-18 14:11:00,Street/Alley,11,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200201-0078,R BRONSON CONSTABLE,Police Officer,19,2001-12-22 16:00:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200203-0182,R BRONSON CONSTABLE,Police Officer,19,2002-03-07 16:44:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200203-0182,R BRONSON CONSTABLE,Police Officer,19,2002-03-07 16:44:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200207-0192,R BRONSON CONSTABLE,Police Officer,19,2002-07-16 9:21:31,Police Vehicle,11,Individual Issued Mace,Officers Actions within Policy,,
200211-0093,R BRONSON CONSTABLE,Police Officer,19,2002-11-06 14:06:00,Street/Alley,11,Force,Unfounded,,
200305-0189,R BRONSON CONSTABLE,Police Officer,19,2003-05-01 19:21:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200306-0058,R BRONSON CONSTABLE,Police Officer,19,2003-05-20 18:20:00,Private Residence or Property,11,Striking Weapon,Officers Actions within Policy,,
200306-0058,R BRONSON CONSTABLE,Police Officer,19,2003-05-20 18:20:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200307-0177,R BRONSON CONSTABLE,Police Officer,19,2003-07-06 18:10:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200307-0177,R BRONSON CONSTABLE,Police Officer,19,2003-07-06 18:10:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
200307-0209,R BRONSON CONSTABLE,Police Officer,19,2003-07-01 21:50:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200312-0214,R BRONSON CONSTABLE,Police Officer,19,2003-10-20 21:52:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200312-0214,R BRONSON CONSTABLE,Police Officer,19,2003-10-20 21:52:00,Private Residence or Property,11,Injury during arrest,Officers Actions within Policy,,
200405-0014,R BRONSON CONSTABLE,Police Officer,19,2004-04-29 14:55:00,Business Building Or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200405-0014,R BRONSON CONSTABLE,Police Officer,19,2004-04-29 14:55:00,Business Building Or Property,11,Injury during arrest,Officers Actions within Policy,,
200405-0144,R BRONSON CONSTABLE,Police Officer,19,2004-05-26 20:06:00,Street/Alley,11,Force,Unfounded,,
200405-0144,R BRONSON CONSTABLE,Police Officer,19,2004-05-26 20:06:00,Street/Alley,11,Handling of Prisoner,Unfounded,,
200406-0131,R BRONSON CONSTABLE,Police Officer,19,2004-06-09 19:10:00,Private Residence or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200406-0164,R BRONSON CONSTABLE,Police Officer,19,2004-05-21 21:03:00,Business Building Or Property,11,Striking Weapon,Officers Actions within Policy,,
200406-0164,R BRONSON CONSTABLE,Police Officer,19,2004-05-21 21:03:00,Business Building Or Property,11,Individual Issued Mace,Officers Actions within Policy,,
200406-0212,R BRONSON CONSTABLE,Police Officer,19,2004-05-26 20:06:00,Street/Alley,11,Striking Hands / Feet,Officers Actions within Policy,,
200406-0212,R BRONSON CONSTABLE,Police Officer,19,2004-05-26 20:06:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
200409-0134,R BRONSON CONSTABLE,Police Officer,19,2004-09-06 20:00:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200410-0008,R BRONSON CONSTABLE,Police Officer,19,2004-09-23 19:55:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200505-0045,R BRONSON CONSTABLE,Police Officer,19,2005-05-06 15:20:00,Street/Alley,11,Force,Unfounded,,
200602-0012,R BRONSON CONSTABLE,Police Officer,19,2006-01-27 14:40:00,Street/Alley,11,Force,Withdrawn,,
200602-0015,R BRONSON CONSTABLE,Police Officer,19,2006-02-02 14:30:00,Private Residence or Property,11,Force,Unfounded,,
200604-0056,R BRONSON CONSTABLE,Police Officer,19,2006-04-07 15:00:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200608-0293,R BRONSON CONSTABLE,Police Officer,19,2006-08-28 1:50:00,Bar,16,Individual Issued Mace,Officers Actions within Policy,,
200810-0067,R BRONSON CONSTABLE,Police Officer,19,2008-07-11 14:50:00,Street/Alley,19,Striking Hands / Feet,Officers Actions within Policy,,
200810-0067,R BRONSON CONSTABLE,Police Officer,19,2008-07-11 14:50:00,Street/Alley,19,Individual Issued Mace,Officers Actions within Policy,,
201009-0139,KYLE M SCHOLL,Police Officer,23,2010-09-02 2:39:00,Street/Alley,10,Injury during arrest,Officers Actions within Policy,,
201108-0227,KYLE M SCHOLL,Police Officer,23,2011-08-13 1:30:00,Street/Alley,16,Injury during arrest,Officers Actions within Policy,,
201208-0418,KYLE M SCHOLL,Police Officer,23,2012-06-08 19:28:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201308-0116,KYLE M SCHOLL,Police Officer,23,2013-08-03 16:27:00,Private Residence or Property,10,Force,Unfounded,,
201308-0207,KYLE M SCHOLL,Police Officer,23,2013-08-09 19:30:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201310-0170,KYLE M SCHOLL,Police Officer,23,2013-09-13 18:12:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201108-0131,ROBERT B KECK,Police Officer,24,2011-07-01 13:00:00,Police SubStation,13,Injury after arrest (transporting / processing),Officers Actions within Policy,,
201302-0124,WAYNE P GOSS,Police Officer,31,2013-01-10 3:16:00,Private Residence or Property,10,Individual Issued Mace,Officers Actions within Policy,,
201302-0191,WAYNE P GOSS,Police Officer,31,2013-01-18 16:55:00,Street/Alley,7,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200107-0055,JULIE A LEACH,Police Officer,32,2001-06-25 22:43:00,Private Residence or Property,11,Firearm Used,Officers Actions within Policy,,
200403-0081,JULIE A LEACH,Police Officer,32,2004-01-30 23:50:00,Street/Alley,11,Injury during arrest,Officers Actions within Policy,,
200509-0105,JULIE A LEACH,Police Officer,32,2005-07-15 22:00:00,Street/Alley,11,Force,Unfounded per Article 8.12,,
200611-0027,JULIE A LEACH,Police Officer,32,2006-10-19 4:27:00,Street/Alley,11,Individual Issued Mace,Officers Actions within Policy,,
200810-0195,JULIE A LEACH,Police Officer,32,2008-08-18 23:16:00,Police Vehicle,11,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200903-0044,JULIE A LEACH,Police Officer,32,2009-01-02 0:17:00,Private Residence or Property,11,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
200801-0276,BRETT C YATES,Police Officer,34,2008-01-27 1:55:00,Street/Alley,17,Individual Issued Mace,Officers Actions within Policy,,
201010-0002,BRETT C YATES,Police Officer,34,2010-09-25 22:41:00,Street/Alley,2,Individual Issued Mace,Officers Actions within Policy,,
201107-0145,BRETT C YATES,Police Officer,34,2011-04-17 1:35:00,Street/Alley,5,Striking Hands / Feet,Officers Actions within Policy,,
201107-0145,BRETT C YATES,Police Officer,34,2011-04-17 1:35:00,Street/Alley,5,Injury during arrest,Officers Actions within Policy,,
200311-0225,LEONARD R MILNER,Police Officer,49,2003-11-22 22:52:00,Private Residence or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200406-0072,LEONARD R MILNER,Police Officer,49,2004-05-08 4:00:00,Police Vehicle,18,Individual Issued Mace,Officers Actions within Policy,,
200506-0021,LEONARD R MILNER,Police Officer,49,2005-05-07 3:10:00,Police Headquarters,H,Injury after arrest (transporting / processing),Officers Actions within Policy,,
200509-0078,LEONARD R MILNER,Police Officer,49,2005-07-24 11:16:00,Private Residence or Property,18,Individual Issued Mace,Officers Actions within Policy,,
200509-0078,LEONARD R MILNER,Police Officer,49,2005-07-24 11:16:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
201103-0137,LEONARD R MILNER,Police Officer,49,2011-03-03 20:52:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
201308-0035,LEONARD R MILNER,Police Officer,49,2013-07-26 13:44:00,Business Building Or Property,18,Injury during arrest,Officers Actions within Policy,,
201312-0038,LEONARD R MILNER,Police Officer,49,2013-04-17 16:52:00,Street/Alley,18,"Injury during contact with officers, no arrest made",Officers Actions within Policy,,
201308-0207,RICHARD SR S MOORE,Police Officer,65,2013-08-09 19:30:00,Private Residence or Property,10,Injury during arrest,Officers Actions within Policy,,
201109-0184,THOMAS S WATKINS,Police Officer,70,2011-09-23 2:33:00,Street/Alley,7,Firearm Used,Officers Actions within Policy,,
200204-0219,ROBERT E BENSON,Police Officer,71,2002-04-20 18:25:12,Street/Alley,F,Display / Use of Firearms,Unfounded,,
200110-0191,JACKSON E RENNIE,Police Officer,78,2001-10-24 13:00:00,Street/Alley,6,Force,Not Sustained,,
200306-0181,JACKSON E RENNIE,Police Officer,78,2003-05-15 10:10:00,Private Residence or Property,6,Individual Issued Mace,Officers Actions within Policy,,
200308-0249,JACKSON E RENNIE,Police Officer,78,2003-08-27 8:58:00,Street/Alley,6,Individual Issued Mace,Officers Actions within Policy,,
200403-0141,JACKSON E RENNIE,Police Officer,78,2004-02-12 11:00:00,Public Building or Property,6,Injury during arrest,Officers Actions within Policy,,
200408-0216,JACKSON E RENNIE,Police Officer,78,2004-08-18 11:25:00,Private Residence or Property,6,"Injury during contact with officers, prior to arrest",Officers Actions within Policy,,
200703-0239,JACKSON E RENNIE,Police Officer,78,2007-03-22 13:55:00,Street/Alley,6,Injury during arrest,Officers Actions within Policy,,
201105-0026,JACKSON E RENNIE,Police Officer,78,2011-05-06 9:35:00,Street/Alley,7,Force,Unfounded,,
201106-0049,JACKSON E RENNIE,Police Officer,78,2011-05-06 9:40:00,Public Building or Property,7,Injury during arrest,Officers Actions within Policy,,
200106-0007,RICHARD F EY,Police Officer,82,2001-04-29 1:30:00,Private Residence or Property,4,Force,Not Sustained,,
200912-0181,BRIAN A DIGUILIO,Police Officer,92,2009-10-28 22:50:00,Private Residence or Property,18,Striking Hands / Feet,Officers Actions within Policy,,
200912-0181,BRIAN A DIGUILIO,Police Officer,92,2009-10-28 22:50:00,Private Residence or Property,18,Injury during arrest,Officers Actions within Policy,,
201005-0173,BRIAN A DIGUILIO,Police Officer,92,2010-05-20 14:30:00,Street/Alley,12,Force,Unfounded,,
200408-0068,AARON K DENNIS,Police Officer,95,2004-07-21 3:03:00,Street/Alley,14,Striking Hands / Feet,Officers Actions within Policy,,
200408-0068,AARON K DENNIS,Police Officer,95,2004-07-21 3:03:00,Street/Alley,14,Injury during arrest,Officers Actions within Policy,,
